97.9775	36.1863	424.591	310.69	310.273	191.531
103.409	31.6889	420.825	308.045	313.822	185.711
111.19	34.64	410.801	281.009	316.591	175.144
347.626	123.166	146.342	258.811	420.797	252.572
343.171	108.842	150.547	278.851	418.444	248.268
343.305	107.757	151.176	280.681	418.893	248.098
342.762	109.248	150.549	277.665	418.036	248.081
343.089	110.386	150.634	275.679	418.406	248.226
344.445	116.413	149.527	265.33	419.208	249.078
344.701	115.007	148.918	269.455	419.161	249.734
341.985	109.549	151.046	277.124	417.508	248.111
342.85	107.624	153.084	277.81	419.392	246.529
343.89	106.386	153.67	280.77	420.725	246.771
343.49	105.316	153.726	281.968	420.352	246.3
345.056	107.26	152.384	279.689	421.248	247.105
345.406	106.084	153.121	283.06	421.967	247.614
345.784	105.561	153.515	282.061	422.541	246.592
347.122	105.775	153.569	279.377	423.907	245.464
347.424	107.329	151.218	281.589	423.033	248.124
347.664	107.113	152.211	281.171	423.769	247.698
349.726	105.098	149.933	282.625	424.692	246.41
349.393	108.523	150.129	277.884	424.458	247.465
349.258	106.813	150.521	280.685	424.518	247.156
349.165	110.659	147.918	278.69	423.124	250.004
348.4	111.864	146.802	277.364	421.801	250.546
352.334	110.764	151.804	281.101	428.236	251.314
349.338	110.108	148.567	278.926	423.621	249.571
348.28	107.168	151.253	279.344	423.906	246.84
351.735	108.924	152.215	283.415	427.843	250.631
352.022	110.949	151.961	282.25	428.003	252.075
353.206	110.748	150.828	280.99	428.62	251.243
351.762	108.357	154.673	283.891	429.098	250.303
352.43	108.012	153.737	284.407	429.298	250.216
350.899	107.415	156.081	288.083	428.939	251.457
351.901	110.531	152.068	282.228	427.935	251.645
350.867	109.337	152.857	286.347	427.296	252.51
347.863	104.941	159.629	292.788	427.677	251.335
347.923	107.551	155.619	284.543	425.732	249.822
347.814	107.144	151.445	285.35	423.537	249.819
350.462	106.848	153.239	282.182	427.081	247.94
350.467	111.928	154.156	274.824	427.545	249.34
351.875	111.133	152.236	274.404	427.993	248.336
351.209	108.636	152.539	281.986	427.478	249.629
351	110.075	151.847	275.823	426.924	247.986
349.162	110.998	152.101	272.438	425.212	247.217
349.535	112.486	152.778	271.066	425.924	248.019
349.355	111.447	153.403	271.818	426.056	247.356
350.032	109.287	152.368	275.057	426.216	246.816
351.324	109.528	150.263	273.423	426.456	246.239
348.956	112.935	152.437	272.789	425.174	249.33
350.702	109.32	150.759	272.487	426.082	245.563
350.41	112.857	152.275	274.476	426.548	250.095
351.651	110.391	152.293	277.865	427.798	249.323
349.336	109.562	156.045	275.943	427.358	247.534
347.215	105.437	159.614	287.32	427.022	249.096
346.758	100.51	154.328	286.996	423.923	244.008
347.352	104.302	153.815	284.697	424.26	246.651
350.439	107.928	151.45	282.499	426.164	249.177
350.182	112.541	151.312	272.373	425.838	248.728
350.553	112.376	142.132	273.748	421.619	249.25
349.915	109.038	150.318	275.469	425.074	246.772
350.502	109.637	151.964	272.691	426.484	245.982
350.448	109.582	150.049	273.644	425.473	246.404
349.367	108.713	143.496	279.387	421.115	248.407
349.354	107.314	149.577	274.395	424.143	244.512
349.345	108.278	148.654	276.279	423.672	246.418
348.584	110.076	142.977	275.482	420.072	247.817
350.418	110.471	148.602	274.479	424.719	247.71
351.2	109.506	151.233	272.74	426.816	245.876
351.293	107.089	148.204	275.826	425.395	245.002
349.246	105.944	154.581	276.596	426.536	244.242
351.077	105.816	152.752	278.686	427.453	245.159
350.599	104.614	151.588	280.52	426.393	244.874
345.254	102.646	162.75	287.696	426.628	246.495
348.379	103.998	153.207	279.689	424.983	243.842
