288.404	2.31115	126.551	275.34	351.679	139.981
288.054	2.58603	126.551	275.34	351.33	140.256	34844.5
288.049	1.80764	126.551	275.34	351.325	139.478	34844.5
287.897	1.56972	126.551	275.34	351.173	139.24	34844.5
287.702	1.45194	126.551	275.34	350.978	139.122	34844.5
287.733	1.53835	126.551	275.34	351.008	139.208	34844.5
287.597	1.76452	126.551	275.34	350.872	139.435	34844.5
287.502	1.36627	126.551	275.34	350.778	139.036	34844.5
287.509	1.14004	126.551	275.34	350.784	138.81	34844.5
287.293	1.09423	126.551	275.34	350.568	138.764	34844.5
287.177	0.962915	126.551	275.34	350.452	138.633	34844.5
286.901	1.11312	126.551	275.34	350.177	138.783	34844.5
286.682	1.28229	126.551	275.34	349.957	138.952	34844.5
286.865	1.24642	126.551	275.34	350.14	138.916	34844.5
286.513	1.58263	126.551	275.34	349.789	139.253	34844.5
286.635	1.20464	126.551	275.34	349.91	138.875	34844.5
286.882	1.40309	126.551	275.34	350.157	139.073	34844.5
286.565	1.37214	126.551	275.34	349.84	139.042	34844.5
286.645	1.07057	126.551	275.34	349.921	138.741	34844.5
286.71	1.48467	126.551	275.34	349.986	139.155	34844.5
286.851	1.14804	126.551	275.34	350.126	138.818	34844.5
286.669	1.60471	126.551	275.34	349.944	139.275	34844.5
286.733	1.1821	126.551	275.34	350.008	138.852	34844.5
286.662	1.37907	126.551	275.34	349.937	139.049	34844.5
286.78	0.915738	126.551	275.34	350.055	138.586	34844.5
286.661	1.40786	126.551	275.34	349.936	139.078	34844.5
287.084	1.31833	126.551	275.34	350.359	138.988	34844.5
287.186	1.2449	126.551	275.34	350.462	138.915	34844.5
287.185	0.878866	126.551	275.34	350.46	138.549	34844.5
287.306	0.450108	126.551	275.34	350.581	138.12	34844.5
287.539	-0.0231012	126.551	275.34	350.814	137.647	34844.5
288.166	0.436707	126.551	275.34	351.441	138.107	34844.5
288.118	0.197958	126.551	275.34	351.393	137.868	34844.5
288.357	0.788249	126.551	275.34	351.633	138.458	34844.5
288.536	0.748175	126.551	275.34	351.811	138.418	34844.5
288.451	0.633347	126.551	275.34	351.726	138.303	34844.5
288.705	0.502668	126.551	275.34	351.981	138.173	34844.5
288.882	0.383173	126.551	275.34	352.157	138.053	34844.5
288.609	0.743994	126.551	275.34	351.885	138.414	34844.5
288.855	0.650517	126.551	275.34	352.13	138.321	34844.5
288.536	0.991836	126.551	275.34	351.812	138.662	34844.5
288.466	1.07246	126.551	275.34	351.742	138.742	34844.5
288.573	0.906108	126.551	275.34	351.849	138.576	34844.5
288.615	0.697491	126.551	275.34	351.89	138.368	34844.5
288.623	0.814695	126.551	275.34	351.899	138.485	34844.5
288.634	0.996445	126.551	275.34	351.909	138.666	34844.5
288.76	1.12097	126.551	275.34	352.036	138.791	34844.5
288.43	1.45863	126.551	275.34	351.705	139.129	34844.5
288.494	1.04347	126.551	275.34	351.77	138.713	34844.5
288.546	0.873016	126.551	275.34	351.821	138.543	34844.5
288.692	1.06231	126.551	275.34	351.967	138.732	34844.5
288.804	1.07831	126.551	275.34	352.079	138.748	34844.5
288.554	1.64187	126.551	275.34	351.829	139.312	34844.5
288.422	1.386	126.551	275.34	351.697	139.056	34844.5
288.261	1.13416	126.551	275.34	351.536	138.804	34844.5
288.309	1.33427	126.551	275.34	351.585	139.004	34844.5
288.172	1.19299	126.551	275.34	351.448	138.863	34844.5
288.102	1.45818	126.551	275.34	351.377	139.128	34844.5
287.807	1.16754	126.551	275.34	351.083	138.838	34844.5
287.724	1.44008	126.551	275.34	350.999	139.11	34844.5
287.999	1.09701	126.551	275.34	351.274	138.767	34844.5
287.968	1.21374	126.551	275.34	351.243	138.884	34844.5
287.976	1.42979	126.551	275.34	351.251	139.1	34844.5
287.871	1.03234	126.551	275.34	351.147	138.702	34844.5
287.72	1.02735	126.551	275.34	350.996	138.697	34844.5
287.818	1.3249	126.551	275.34	351.094	138.995	34844.5
287.74	1.49699	126.551	275.34	351.016	139.167	34844.5
287.482	1.03508	126.551	275.34	350.757	138.705	34844.5
287.595	1.32594	126.551	275.34	350.87	138.996	34844.5
287.95	1.15964	126.551	275.34	351.225	138.83	34844.5
287.89	1.04225	126.551	275.34	351.165	138.712	34844.5
287.842	0.983063	126.551	275.34	351.117	138.653	34844.5
287.727	1.24931	126.551	275.34	351.002	138.919	34844.5
287.684	1.30552	126.551	275.34	350.96	138.976	34844.5
287.847	1.32324	126.551	275.34	351.122	138.993	34844.5
287.762	1.23983	126.551	275.34	351.038	138.91	34844.5
287.591	1.35892	126.551	275.34	350.866	139.029	34844.5
287.576	1.13466	126.551	275.34	350.851	138.805	34844.5
287.683	0.996899	126.551	275.34	350.958	138.667	34844.5
287.815	1.16003	126.551	275.34	351.09	138.83	34844.5
287.845	1.21143	126.551	275.34	351.12	138.881	34844.5
287.694	1.15134	126.551	275.34	350.969	138.821	34844.5
287.891	1.43872	126.551	275.34	351.167	139.109	34844.5
287.617	1.2444	126.551	275.34	350.893	138.914	34844.5
287.668	1.41721	126.551	275.34	350.944	139.087	34844.5
287.72	1.34183	126.551	275.34	350.996	139.012	34844.5
287.743	1.32274	126.551	275.34	351.019	138.993	34844.5
287.699	1.47108	126.551	275.34	350.974	139.141	34844.5
287.788	1.37403	126.551	275.34	351.063	139.044	34844.5
287.593	0.873331	126.551	275.34	350.868	138.543	34844.5
287.778	1.19757	126.551	275.34	351.053	138.868	34844.5
287.824	1.29553	126.551	275.34	351.099	138.966	34844.5
287.703	1.56892	126.551	275.34	350.979	139.239	34844.5
287.724	1.3045	126.551	275.34	350.999	138.975	34844.5
287.678	1.94893	126.551	275.34	350.953	139.619	34844.5
287.724	1.64697	126.551	275.34	351	139.317	34844.5
287.829	1.44885	126.551	275.34	351.104	139.119	34844.5
287.602	1.20116	126.551	275.34	350.877	138.871	34844.5
287.662	1.8561	126.551	275.34	350.938	139.526	34844.5
287.739	1.66489	126.551	275.34	351.014	139.335	34844.5
287.725	1.30976	126.551	275.34	351.001	138.98	34844.5
287.766	1.40626	126.551	275.34	351.042	139.076	34844.5
288.106	1.35416	126.551	275.34	351.381	139.024	34844.5
288.331	1.1533	126.551	275.34	351.607	138.823	34844.5
288.677	1.28396	126.551	275.34	351.953	138.954	34844.5
289.412	1.37791	126.551	275.34	352.687	139.048	34844.5
290.074	0.926006	126.551	275.34	353.35	138.596	34844.5
290.642	1.37871	126.551	275.34	353.917	139.049	34844.5
291.702	0.973576	126.551	275.34	354.977	138.644	34844.5
292.314	1.59471	126.551	275.34	355.59	139.265	34844.5
293.127	1.28606	126.551	275.34	356.402	138.956	34844.5
293.649	1.84595	126.551	275.34	356.925	139.516	34844.5
294.334	1.12833	126.551	275.34	357.609	138.798	34844.5
295.222	1.03788	126.551	275.34	358.498	138.708	34844.5
295.677	0.5934	126.551	275.34	358.953	138.263	34844.5
296.601	-0.022213	126.551	275.34	359.877	137.648	34844.5
297.519	0.575051	126.551	275.34	360.794	138.245	34844.5
297.343	1.15483	126.551	275.34	360.618	138.825	34844.5
297.499	1.61636	126.551	275.34	360.774	139.286	34844.5
297.216	1.14603	126.551	275.34	360.491	138.816	34844.5
296.679	2.5091	126.551	275.34	359.954	140.179	34844.5
296.436	2.35172	126.551	275.34	359.711	140.022	34844.5
295.85	2.3662	126.551	275.34	359.125	140.036	34844.5
294.253	2.65958	126.551	275.34	357.529	140.33	34844.5
296.631	9.57847	120.525	262.229	356.893	140.693	31605
296.016	10.024	120.525	262.229	356.278	141.138	31605
294.979	9.39029	120.525	262.229	355.242	140.505	31605
294.038	9.46041	120.525	262.229	354.301	140.575	31605
293.448	9.68093	120.525	262.229	353.711	140.795	31605
292.79	10.6193	120.525	262.229	353.053	141.734	31605
292.248	11.3505	120.525	262.229	352.51	142.465	31605
291.553	11.5161	120.525	262.229	351.815	142.63	31605
290.854	10.7032	120.525	262.229	351.116	141.818	31605
290.204	10.1709	120.525	262.229	350.466	141.285	31605
289.788	9.57233	120.525	262.229	350.05	140.687	31605
289.517	9.1265	120.525	262.229	349.78	140.241	31605
289.398	9.12816	120.525	262.229	349.66	140.242	31605
288.833	8.92598	120.525	262.229	349.095	140.04	31605
288.119	8.70084	120.525	262.229	348.382	139.815	31605
287.715	8.79051	120.525	262.229	347.977	139.905	31605
287.757	8.76651	120.525	262.229	348.019	139.881	31605
286.714	9.41142	120.525	262.229	346.976	140.526	31605
287.05	8.89891	120.525	262.229	347.312	140.013	31605
286.594	8.407	120.525	262.229	346.857	139.521	31605
286.307	9.47034	120.525	262.229	346.569	140.585	31605
286.055	9.95957	120.525	262.229	346.318	141.074	31605
285.992	10.0124	120.525	262.229	346.254	141.127	31605
285.836	10.72	120.525	262.229	346.098	141.834	31605
286.266	12.2102	120.525	262.229	346.528	143.324	31605
286.497	12.4195	120.525	262.229	346.759	143.534	31605
287.023	12.7281	120.525	262.229	347.285	143.842	31605
287.375	14.469	120.525	262.229	347.638	145.583	31605
288.024	14.5354	120.525	262.229	348.286	145.65	31605
288.356	15.2359	120.525	262.229	348.619	146.35	31605
289.219	15.3214	120.525	262.229	349.482	146.436	31605
290.488	15.1638	120.525	262.229	350.75	146.278	31605
291.673	14.7283	120.525	262.229	351.935	145.843	31605
292.974	15.9798	120.525	262.229	353.237	147.094	31605
293.723	15.3371	120.525	262.229	353.985	146.451	31605
294.964	15.7282	120.525	262.229	355.226	146.842	31605
295.654	16.408	120.525	262.229	355.916	147.522	31605
296.412	16.2409	120.525	262.229	356.675	147.355	31605
296.525	16.3766	120.525	262.229	356.787	147.491	31605
297.312	16.1605	120.525	262.229	357.574	147.275	31605
298.012	16.7255	120.525	262.229	358.274	147.84	31605
298.611	16.8359	120.525	262.229	358.873	147.95	31605
299.54	16.7253	120.525	262.229	359.802	147.84	31605
300.596	16.4623	120.525	262.229	360.859	147.577	31605
301.186	15.9864	120.525	262.229	361.449	147.101	31605
301.334	16.5795	120.525	262.229	361.597	147.694	31605
301.806	16.5349	120.525	262.229	362.068	147.649	31605
301.534	17.0342	120.525	262.229	361.796	148.149	31605
302.018	17.1093	120.525	262.229	362.28	148.224	31605
301.192	17.2247	120.525	262.229	361.455	148.339	31605
302.055	17.2315	120.525	262.229	362.317	148.346	31605
302.241	18.0133	120.525	262.229	362.503	149.128	31605
301.587	18.4474	120.525	262.229	361.849	149.562	31605
300.934	19.1158	120.525	262.229	361.196	150.23	31605
300.097	19.5822	120.525	262.229	360.36	150.697	31605
299.72	19.6773	120.525	262.229	359.983	150.792	31605
299.468	19.9313	120.525	262.229	359.73	151.046	31605
302.574	26.4838	114.785	249.742	359.967	151.355	28666.7
302.677	26.8911	114.785	249.742	360.07	151.762	28666.7
301.645	27.7334	114.785	249.742	359.038	152.604	28666.7
297.759	21.8407	120.525	262.229	358.021	152.955	31605
296.747	21.7802	120.525	262.229	357.01	152.894	31605
295.939	21.8756	120.525	262.229	356.202	152.99	31605
295.345	22.7026	120.525	262.229	355.607	153.817	31605
294.87	22.3845	120.525	262.229	355.132	153.499	31605
294.212	22.2402	120.525	262.229	354.474	153.354	31605
294.016	21.8792	120.525	262.229	354.278	152.994	31605
293.456	21.8438	120.525	262.229	353.718	152.958	31605
293.302	22.2585	120.525	262.229	353.564	153.373	31605
292.999	21.864	120.525	262.229	353.261	152.978	31605
292.349	22.1117	120.525	262.229	352.611	153.226	31605
292.089	21.861	120.525	262.229	352.351	152.975	31605
291.903	22.3766	120.525	262.229	352.166	153.491	31605
291.583	22.1617	120.525	262.229	351.845	153.276	31605
291.563	22.0816	120.525	262.229	351.826	153.196	31605
291.555	22.1423	120.525	262.229	351.817	153.257	31605
291.301	21.7038	120.525	262.229	351.563	152.818	31605
291.13	21.6435	120.525	262.229	351.393	152.758	31605
290.945	22.0685	120.525	262.229	351.207	153.183	31605
290.473	22.0613	120.525	262.229	350.735	153.176	31605
290.916	23.0896	120.525	262.229	351.178	154.204	31605
291.055	23.9724	120.525	262.229	351.317	155.087	31605
290.747	24.0289	120.525	262.229	351.009	155.143	31605
290.78	24.7453	120.525	262.229	351.042	155.86	31605
290.785	25.5933	120.525	262.229	351.048	156.708	31605
290.793	25.1114	120.525	262.229	351.055	156.226	31605
291.082	24.6778	120.525	262.229	351.345	155.792	31605
291.481	25.107	120.525	262.229	351.744	156.221	31605
292.032	24.6629	120.525	262.229	352.294	155.777	31605
292.712	25.344	120.525	262.229	352.975	156.458	31605
293.552	24.5304	120.525	262.229	353.815	155.645	31605
294.292	23.9661	120.525	262.229	354.554	155.08	31605
295.009	23.4232	120.525	262.229	355.271	154.537	31605
295.644	23.0807	120.525	262.229	355.906	154.195	31605
297.096	22.6714	120.525	262.229	357.358	153.786	31605
298.374	23.2145	120.525	262.229	358.637	154.329	31605
299.613	23.3795	120.525	262.229	359.875	154.494	31605
300.603	23.8193	120.525	262.229	360.865	154.934	31605
301.384	24.1683	120.525	262.229	361.646	155.283	31605
301.857	23.9432	120.525	262.229	362.119	155.058	31605
302.107	23.5183	120.525	262.229	362.369	154.633	31605
302.653	22.9078	120.525	262.229	362.915	154.022	31605
303.575	22.1713	120.525	262.229	363.838	153.286	31605
304.149	21.3297	120.525	262.229	364.412	152.444	31605
304.577	20.9702	120.525	262.229	364.839	152.085	31605
305.52	20.0553	120.525	262.229	365.782	151.17	31605
306.471	20.2471	120.525	262.229	366.734	151.361	31605
307.105	20.6791	120.525	262.229	367.367	151.793	31605
307.353	20.5259	120.525	262.229	367.615	151.64	31605
307.602	20.2565	120.525	262.229	367.864	151.371	31605
308.141	19.8509	120.525	262.229	368.403	150.965	31605
308.239	19.9175	120.525	262.229	368.501	151.032	31605
308.423	20.1834	120.525	262.229	368.685	151.298	31605
308.713	19.6539	120.525	262.229	368.976	150.768	31605
308.927	19.7664	120.525	262.229	369.19	150.881	31605
308.291	20.368	120.525	262.229	368.553	151.482	31605
308.167	20.2785	120.525	262.229	368.429	151.393	31605
308.088	19.8196	120.525	262.229	368.35	150.934	31605
308.054	19.7622	120.525	262.229	368.317	150.877	31605
307.313	20.3518	120.525	262.229	367.575	151.466	31605
306.835	19.8183	120.525	262.229	367.098	150.933	31605
305.964	19.1847	120.525	262.229	366.227	150.299	31605
304.87	19.2679	120.525	262.229	365.133	150.382	31605
304.458	18.8728	120.525	262.229	364.72	149.987	31605
304.014	19.1424	120.525	262.229	364.276	150.257	31605
303.413	19.3299	120.525	262.229	363.676	150.444	31605
302.797	18.5808	120.525	262.229	363.059	149.695	31605
301.669	18.7133	120.525	262.229	361.931	149.828	31605
301.482	18.3549	120.525	262.229	361.744	149.469	31605
301.213	17.8366	120.525	262.229	361.475	148.951	31605
300.919	18.0057	120.525	262.229	361.182	149.12	31605
300.239	18.0133	120.525	262.229	360.501	149.128	31605
299.85	17.6123	120.525	262.229	360.113	148.727	31605
299.445	17.6479	120.525	262.229	359.707	148.762	31605
299.376	17.4096	120.525	262.229	359.639	148.524	31605
299.49	16.716	120.525	262.229	359.752	147.83	31605
299.542	15.9845	120.525	262.229	359.804	147.099	31605
299.531	15.3211	120.525	262.229	359.794	146.435	31605
299.3	15.6328	120.525	262.229	359.563	146.747	31605
299.009	15.7072	120.525	262.229	359.271	146.821	31605
298.728	16.0117	120.525	262.229	358.99	147.126	31605
299.053	15.9437	120.525	262.229	359.316	147.058	31605
299.373	15.8845	120.525	262.229	359.635	146.999	31605
299.761	16.4249	120.525	262.229	360.023	147.539	31605
299.478	16.6678	120.525	262.229	359.74	147.782	31605
299.491	16.7883	120.525	262.229	359.754	147.903	31605
