231.629	44.6841	119.248	228.293	291.253	158.831
231.194	44.8664	119.248	228.293	290.818	159.013	27223.4
231.413	44.2558	119.248	228.293	291.037	158.402	27223.4
230.957	44.6562	119.248	228.293	290.581	158.803	27223.4
231.304	44.455	119.248	228.293	290.927	158.601	27223.4
231.346	44.3372	119.248	228.293	290.97	158.484	27223.4
231.612	43.9845	119.248	228.293	291.236	158.131	27223.4
233.606	43.7416	119.248	228.293	293.23	157.888	27223.4
234.572	44.4499	119.248	228.293	294.195	158.596	27223.4
234.384	43.8778	119.248	228.293	294.008	158.024	27223.4
234.299	43.7097	119.248	228.293	293.922	157.856	27223.4
235.407	43.4625	119.248	228.293	295.031	157.609	27223.4
235.265	43.4983	119.248	228.293	294.888	157.645	27223.4
236.006	43.2525	119.248	228.293	295.63	157.399	27223.4
236.07	43.3338	119.248	228.293	295.693	157.48	27223.4
236.474	43.6141	119.248	228.293	296.098	157.761	27223.4
236.096	44.1677	119.248	228.293	295.72	158.314	27223.4
235.884	43.951	119.248	228.293	295.508	158.097	27223.4
235.7	43.5628	119.248	228.293	295.324	157.709	27223.4
235.682	44.004	119.248	228.293	295.306	158.15	27223.4
235.036	44.2974	119.248	228.293	294.66	158.444	27223.4
235.154	44.3965	119.248	228.293	294.777	158.543	27223.4
235.022	44.1798	119.248	228.293	294.646	158.326	27223.4
234.52	43.8442	119.248	228.293	294.144	157.991	27223.4
233.855	44.1081	119.248	228.293	293.479	158.255	27223.4
233.787	44.1409	119.248	228.293	293.41	158.287	27223.4
233.87	44.2003	119.248	228.293	293.493	158.347	27223.4
234.121	44.1212	119.248	228.293	293.745	158.268	27223.4
234.452	43.5162	119.248	228.293	294.076	157.663	27223.4
234.722	43.3728	119.248	228.293	294.346	157.519	27223.4
235.857	42.737	119.248	228.293	295.48	156.884	27223.4
236.691	43.0383	119.248	228.293	296.315	157.185	27223.4
237.177	42.8115	119.248	228.293	296.801	156.958	27223.4
237.575	43.544	119.248	228.293	297.198	157.691	27223.4
236.88	43.5863	119.248	228.293	296.504	157.733	27223.4
236.124	43.9511	119.248	228.293	295.748	158.098	27223.4
235.026	43.552	119.248	228.293	294.65	157.699	27223.4
233.267	43.5705	119.248	228.293	292.891	157.717	27223.4
231.472	43.9148	119.248	228.293	291.096	158.061	27223.4
228.94	44.6682	119.248	228.293	288.564	158.815	27223.4
227.53	44.3049	119.248	228.293	287.154	158.451	27223.4
226.742	44.6565	119.248	228.293	286.366	158.803	27223.4
