254.937	8.89483	159.024	290.575	334.449	154.182
254.247	8.62675	159.024	290.575	333.759	153.914	46208.4
254.447	8.56734	159.024	290.575	333.959	153.855	46208.4
254.556	8.54573	159.024	290.575	334.068	153.833	46208.4
254.276	8.82848	159.024	290.575	333.788	154.116	46208.4
254.19	8.38098	159.024	290.575	333.702	153.669	46208.4
254.303	8.50434	159.024	290.575	333.815	153.792	46208.4
253.575	9.13949	159.024	290.575	333.087	154.427	46208.4
252.544	9.31394	159.024	290.575	332.056	154.602	46208.4
252.017	9.00452	159.024	290.575	331.529	154.292	46208.4
251.686	8.42651	159.024	290.575	331.198	153.714	46208.4
251.696	8.48601	159.024	290.575	331.208	153.774	46208.4
251.613	8.21091	159.024	290.575	331.125	153.498	46208.4
251.503	8.39193	159.024	290.575	331.015	153.68	46208.4
251.425	8.60478	159.024	290.575	330.937	153.892	46208.4
252.466	8.21879	159.024	290.575	331.978	153.506	46208.4
252.395	8.14354	159.024	290.575	331.907	153.431	46208.4
252.516	8.3591	159.024	290.575	332.028	153.647	46208.4
251.996	8.32823	159.024	290.575	331.508	153.616	46208.4
251.979	8.32967	159.024	290.575	331.491	153.617	46208.4
251.949	8.85807	159.024	290.575	331.461	154.146	46208.4
251.701	8.26564	159.024	290.575	331.213	153.553	46208.4
251.285	8.48821	159.024	290.575	330.797	153.776	46208.4
251.804	8.28901	159.024	290.575	331.316	153.577	46208.4
251.543	8.93977	159.024	290.575	331.055	154.227	46208.4
250.683	9.01282	159.024	290.575	330.195	154.3	46208.4
250.396	8.42309	159.024	290.575	329.908	153.711	46208.4
251.003	8.4608	159.024	290.575	330.514	153.748	46208.4
250.786	8.51336	159.024	290.575	330.298	153.801	46208.4
250.548	8.90571	159.024	290.575	330.06	154.193	46208.4
249.839	8.77066	159.024	290.575	329.351	154.058	46208.4
249.589	8.52542	159.024	290.575	329.101	153.813	46208.4
249.921	9.14076	159.024	290.575	329.433	154.428	46208.4
249.545	9.53613	159.024	290.575	329.057	154.824	46208.4
249.068	10.1724	159.024	290.575	328.58	155.46	46208.4
249.818	9.54012	159.024	290.575	329.33	154.828	46208.4
249.269	9.61988	159.024	290.575	328.781	154.907	46208.4
249.477	9.6734	159.024	290.575	328.989	154.961	46208.4
249.757	9.77457	159.024	290.575	329.269	155.062	46208.4
249.291	9.17648	159.024	290.575	328.803	154.464	46208.4
249.999	9.37788	159.024	290.575	329.511	154.665	46208.4
249.784	9.63442	159.024	290.575	329.296	154.922	46208.4
249.367	9.52378	159.024	290.575	328.879	154.811	46208.4
250.047	9.3388	159.024	290.575	329.559	154.626	46208.4
